canton,municipality,bfs_code,address,plz,egid
ZH,Hüttikon,87,Valbellastrasse 3,8115,30917
ZH,Hüttikon,87,Traubenweg 1,8115,30897
ZH,Oberweningen,93,Dorfstrasse 24a,8165,210190870
ZH,Oberweningen,93,Im Gässli 2,8165,34022
ZH,Oberweningen,93,Grundstrasse 11,8165,34035
ZH,Oberweningen,93,Im Gässli 15,8165,210219677
ZH,Oberweningen,93,Grundstrasse 25a,8165,191977549
ZH,Oberweningen,93,Grundstrasse 7,8165,34037
ZH,Oberweningen,93,Grundstrasse 26,8165,34162
ZH,Oberweningen,93,Im Gässli 1,8165,34023
ZH,Oberweningen,93,Bachstrasse 14,8165,3017287
ZH,Oberweningen,93,Im Gässli 11,8165,210219675
ZH,Oberglatt,92,Haslibergstrasse 3,8154,33846
ZH,Oberglatt,92,Höhenstrasse 18,8154,33850
ZH,Oberglatt,92,Zürcherstrasse 23,8154,33878
ZH,Oberglatt,92,Höhenstrasse 11,8154,33869
ZH,Oberglatt,92,Höhenstrasse 13a,8154,201041648
